theta_deg,z_mm,mu_deg,N_i_N,M_load_Nm,M_arm_Nm,M_simple_Nm,M_jac_Nm,valid
46.8,-1159.96745767469,73.5547844847846,207.352940565461,84.4963232804252,9.45744213997282,93.953765420398,36.0443683469617,1
46.9,-1160.75753689401,73.4203377010072,205.718113584196,83.8301312855598,9.4398502665209,93.2699815520807,35.9989418174649,1
47,-1161.54678651354,73.2858467481112,204.109454877218,83.1746028624661,9.42222963764797,92.5968325001141,35.953351419856,1
47.1,-1162.33520251914,73.1513117652077,202.526352821144,82.5294887746163,9.40458030702951,91.9340690816458,35.9075974136388,1
47.2,-1163.12278090275,73.0167328913419,200.968214721465,81.8945474989972,9.38690232842845,91.2814498274256,35.8616800593079,1
47.3,-1163.90951766252,72.8821102654929,199.434466086013,81.2695449300505,9.36919575569498,90.6387406857454,35.8155996183447,1
47.4,-1164.69540880275,72.7474440265728,197.924549931639,80.654254097143,9.35146064276638,90.0057147399094,35.7693563532123,1
47.5,-1165.48045033397,72.6127343134261,196.437926122344,80.0484548948553,9.3336970436669,89.3821519385222,35.7229505273507,1
47.6,-1166.26463827296,72.4779812648291,194.974070737206,79.4519338254115,9.31590501250753,88.7678388379191,35.676382405172,1
47.7,-1167.04796864275,72.3431850194891,193.532475466554,78.8644837526207,9.29808460348588,88.1625683561066,35.6296522520555,1
47.8,-1167.83043747266,72.2083457160441,192.112647034927,78.2859036667326,9.28023587088602,87.5661395376186,35.5827603343434,1
47.9,-1168.61204079833,72.0734634930614,190.714106649437,77.7159984596457,9.26235886907827,86.9783573287239,35.5357069193354,1
48,-1169.39277466176,71.9385384890382,189.336389472254,77.1545787099435,9.24445365251908,86.3990323624626,35.4884922752848,1
48.1,-1170.1726351113,71.8035708423996,187.979044115966,76.6014604772563,9.22652027575086,85.8279807530071,35.4411166713927,1
48.2,-1170.9516182017,71.6685606914988,186.641632160698,76.0564651054844,9.20855879340176,85.2650238988862,35.3935803778043,1
48.3,-1171.72971999414,71.5335081746166,185.323727691874,75.5194190344386,9.1905692601856,84.7099882946242,35.3458836656035,1
48.4,-1172.50693655623,71.3984134299602,184.024916857617,74.990153619479,9.17255173090159,84.1627053503806,35.2980268068087,1
48.5,-1173.28326396207,71.263276595663,182.744797444818,74.4685049587633,9.15450626043427,83.6230112191975,35.2500100743677,1
48.6,-1174.05869829224,71.128097809784,181.48297847295,73.9543137277273,9.13643290375326,83.0907466314805,35.2018337421533,1
48.7,-1174.83323563384,70.9928772103069,180.239079804786,73.4474250204504,9.11833171591314,82.5657567363636,35.1534980849584,1
48.8,-1175.60687208053,70.8576149351399,179.01273177319,72.9476881975747,9.10020275205328,82.047890949628,35.1050033784916,1
48.9,-1176.37960373254,70.722311122115,177.803574823213,72.4549567404594,9.08204606739763,81.537002807857,35.0563498993724,1
49,-1177.15142669667,70.5869659089873,176.611259168786,71.9690881112805,9.06386171725461,81.0329498285351,35.0075379251268,1
49.1,-1177.92233708637,70.4515794334345,175.435444463288,71.4899436187899,9.0456497570169,80.5355933758068,34.9585677341823,1
49.2,-1178.69233102171,70.3161518330564,174.275799483366,71.0173882894716,9.0274102421613,80.0447985316329,34.9094396058634,1
49.3,-1179.46140462945,70.1806832453745,173.13200182538,70.5512907438422,9.00914322824852,79.5604339720907,34.8601538203875,1
49.4,-1180.22955404302,70.0451738078309,172.003737613884,70.0915230776577,8.99084877092306,79.0823718485808,34.8107106588596,1
49.5,-1180.99677540257,69.9096236577884,170.8907012216,69.6379607478021,8.97252692591301,78.6104876737151,34.761110403268,1
49.6,-1181.76306485501,69.7740329325297,169.792595000348,69.1904824626418,8.95417774902989,78.1446602116717,34.7113533364801,1
49.7,-1182.52841855399,69.6384017692568,168.709129022445,68.7489700766464,8.93580129616847,77.6847713728148,34.6614397422373,1
49.8,-1183.29283265994,69.5027303050905,167.640020832099,68.3133084890802,8.91739762330662,77.2307061123868,34.6113699051508,1
49.9,-1184.05630334013,69.3670186770699,166.584995206341,67.883385546584,8.8989667865051,76.7823523330891,34.561144110697,1
50,-1184.81882676863,69.2312670221521,165.54378392509,67.4590919494742,8.88050884190746,76.3396007913817,34.5107626452128,1
